Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1995,1995,kg/ha,17.05,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1996,1996,kg/ha,17.57,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1997,1997,kg/ha,23.01,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1998,1998,kg/ha,24.19,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1999,1999,kg/ha,28.19,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2000,2000,kg/ha,24.77,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2001,2001,kg/ha,25.7,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,23.7,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,24.33,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,27.27,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,30.71,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,32.75,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,32.61,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,35.73,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,42.71,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,48.43,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,49.65,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,39.29,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,33.25,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,35.99,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/ha,41.19,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/ha,39.6,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/ha,40.58,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2018,2018,kg/ha,41.28,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2019,2019,kg/ha,44.26,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2020,2020,kg/ha,53.23,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1961,1961,kg/ha,0.17,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1962,1962,kg/ha,0.22,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1963,1963,kg/ha,0.31,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1964,1964,kg/ha,0.43,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1965,1965,kg/ha,0.48,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1966,1966,kg/ha,0.7,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1967,1967,kg/ha,1.04,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1968,1968,kg/ha,1.03,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1969,1969,kg/ha,1.28,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1970,1970,kg/ha,1.43,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1971,1971,kg/ha,1.83,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1972,1972,kg/ha,2.11,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1973,1973,kg/ha,2.17,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1974,1974,kg/ha,2.02,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1975,1975,kg/ha,1.67,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1976,1976,kg/ha,1.91,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1977,1977,kg/ha,3.03,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1978,1978,kg/ha,3.52,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1979,1979,kg/ha,3.6,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1980,1980,kg/ha,3.71,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1981,1981,kg/ha,4.02,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1982,1982,kg/ha,3.68,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1983,1983,kg/ha,3.72,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1984,1984,kg/ha,5,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1985,1985,kg/ha,5.04,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1986,1986,kg/ha,5.12,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1987,1987,kg/ha,5.18,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1988,1988,kg/ha,6.08,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1989,1989,kg/ha,6.89,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1990,1990,kg/ha,7.81,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1991,1991,kg/ha,7.99,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1992,1992,kg/ha,5.2,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1993,1993,kg/ha,5.5,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1994,1994,kg/ha,6.6,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1995,1995,kg/ha,6.8,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1996,1996,kg/ha,6.15,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1997,1997,kg/ha,8.07,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1998,1998,kg/ha,7.83,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),1999,1999,kg/ha,9.84,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2000,2000,kg/ha,9.21,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2001,2001,kg/ha,9.83,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2002,2002,kg/ha,9.4,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2003,2003,kg/ha,9.41,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2004,2004,kg/ha,12.13,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2005,2005,kg/ha,14.22,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2006,2006,kg/ha,13.76,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2007,2007,kg/ha,15.58,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2008,2008,kg/ha,19.56,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2009,2009,kg/ha,21.44,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2010,2010,kg/ha,20.47,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2011,2011,kg/ha,15.33,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2012,2012,kg/ha,12.18,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2013,2013,kg/ha,12.39,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2014,2014,kg/ha,14.95,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2015,2015,kg/ha,14.18,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2016,2016,kg/ha,14.81,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2017,2017,kg/ha,16.45,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2018,2018,kg/ha,16.47,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2019,2019,kg/ha,15.66,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2020,2020,kg/ha,18.7,E,Estimated value
