Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,97.21,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,102.54,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,99.33,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,98.85,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,100.02,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2015,2015,kg/ha,102.54,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2016,2016,kg/ha,98.84,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2017,2017,kg/ha,100.41,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2018,2018,kg/ha,104.45,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2019,2019,kg/ha,111.84,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2020,2020,kg/ha,120.97,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1961,1961,kg/ha,0.38,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1962,1962,kg/ha,0.51,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1963,1963,kg/ha,0.72,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1964,1964,kg/ha,0.92,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1965,1965,kg/ha,0.82,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1966,1966,kg/ha,1.53,E,Estimated value
