Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1961","1961","ha","375000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1961","1961","kg/ha","7250.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1962","1962","ha","365000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1962","1962","kg/ha","6704.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1963","1963","ha","413000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1963","1963","kg/ha","8147.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1964","1964","ha","415000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1964","1964","kg/ha","6248.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1965","1965","ha","429000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1965","1965","kg/ha","8403.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1966","1966","ha","479000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1966","1966","kg/ha","8509.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1967","1967","ha","473300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1967","1967","kg/ha","7440.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1968","1968","ha","501400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1968","1968","kg/ha","8441","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1969","1969","ha","524400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1969","1969","kg/ha","9011.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1970","1970","ha","496000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1970","1970","kg/ha","7888.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1971","1971","ha","481900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1971","1971","kg/ha","9975.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1972","1972","ha","491900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1972","1972","kg/ha","9809.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1973","1973","ha","504600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1973","1973","kg/ha","8820.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1974","1974","ha","543400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1974","1974","kg/ha","8945.7","A","Official figure",""
