Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,9618.86,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1967,1967,3050,FAO TIER 1,kilotonnes,9618.86,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,31.1467,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,7.008,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,38.1547,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,10111.0052,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1968,1968,3050,FAO TIER 1,kilotonnes,10111.0052,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1969,1969,3050,FAO TIER 1,kilotonnes,32.0567,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1969,1969,3050,FAO TIER 1,kilotonnes,7.2128,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1969,1969,3050,FAO TIER 1,kilotonnes,39.2694,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1969,1969,3050,FAO TIER 1,kilotonnes,10406.4009,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1969,1969,3050,FAO TIER 1,kilotonnes,10406.4009,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1970,1970,3050,FAO TIER 1,kilotonnes,33.1146,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1970,1970,3050,FAO TIER 1,kilotonnes,7.4508,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1970,1970,3050,FAO TIER 1,kilotonnes,40.5654,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1970,1970,3050,FAO TIER 1,kilotonnes,10749.828,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1970,1970,3050,FAO TIER 1,kilotonnes,10749.828,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1971,1971,3050,FAO TIER 1,kilotonnes,33.0794,E,Estimated value,
